country	gross_band_eur	effective_rate	source	last_updated
ES	40000	0.245	talent.com ES 2026-08	2026-08-08
PL	35000	0.25	talent.com PL 2026-08	2026-08-08
ES	30000	0.215	talent.com ES 2026-08	2026-08-08
IT	10000	0.05	Italian stage rimborso spese 2026-08	2026-08-08
IT	30000	0.28	talent.com IT 2026-08	2026-08-08
ES	15000	0.09	talent.com ES 2026-08	2026-08-08
NL	10000	0.05	NL intern allowance 2026-08	2026-08-08
GB	45000	0.255	HMRC/talent.com UK 2026-08	2026-08-08
NL	60000	0.335	talent.com NL 2026-08	2026-08-08
ES	10000	0.08	talent.com ES 2026-08	2026-08-08
NL	45000	0.28	talent.com NL 2026-08	2026-08-08
ES	25000	0.2	talent.com ES 2026-08	2026-08-08
ES	20000	0.13	talent.com ES 2026-08	2026-08-08
IT	35000	0.29	talent.com IT 2026-08	2026-08-08
